entity,entity_type,source,method,confidence,evidence
"Tổ chức niêm yết, tổ chức đăng ký giao dịch; tổ chức tư vấn niêm yết, đăng ký giao dịch",DoiTuongApDung,content_clean,claude_llm,0.85,"d) Tổ chức niêm yết, tổ chức đăng ký giao dịch; tổ chức tư vấn niêm yết, đăng ký giao dịch;"
Tổ chức kiểm toán được chấp thuận,DoiTuongApDung,content_clean,claude_llm,0.9,đ) Tổ chức kiểm toán được chấp thuận;
"Tổ chức tư vấn chào bán, phát hành, tổ chức bảo lãnh phát hành; tổ chức đấu thầu, đại lý phát hành",DoiTuongApDung,content_clean,claude_llm,0.85,"e) Tổ chức tư vấn chào bán, phát hành, tổ chức bảo lãnh phát hành; tổ chức đấu thầu, đại lý phát hành;"
"Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh, văn phòng đại diện công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán",DoiTuongApDung,content_clean,claude_llm,0.85,"g) Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh, văn phòng đại diện công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán;"
Sở giao dịch chứng khoán Việt Nam và công ty con; Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam và công ty con,DoiTuongApDung,content_clean,claude_llm,0.8,Sở giao dịch chứng khoán Việt Nam và công ty con; Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam và công ty con;
"Cổ đông, nhà đầu tư là tổ chức",DoiTuongApDung,content_clean,claude_llm,0.9,"i) Cổ đông, nhà đầu tư là tổ chức;"
"Ngân hàng thương mại, chi nhánh ngân hàng nước ngoài tại Việt Nam thực hiện hoạt động lưu ký, bù trừ, thanh toán giao dịch chứng khoán, ngân hàng giám sát",DoiTuongApDung,content_clean,claude_llm,0.85,"k) Ngân hàng thương mại, chi nhánh ngân hàng nước ngoài tại Việt Nam thực hiện hoạt động lưu ký, bù trừ, thanh toán giao dịch chứng khoán, ngân hàng giám sát;"
Tổ chức xã hội - nghề nghiệp về chứng khoán,DoiTuongApDung,content_clean,claude_llm,0.9,l) Tổ chức xã hội - nghề nghiệp về chứng khoán;
Các tổ chức khác hoạt động trên thị trường chứng khoán hoặc có liên quan đến hoạt động về chứng khoán và thị trường chứng khoán,DoiTuongApDung,content_clean,claude_llm,0.85,m) Các tổ chức khác hoạt động trên thị trường chứng khoán hoặc có liên quan đến hoạt động về chứng khoán và thị trường chứng khoán.
Chứng khoán,LinhVuc,content_clean,claude_llm,0.9,Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
"Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",DoiTuongApDung,content_clean,claude_llm,0.9,"1. Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam."
"Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",DoiTuongApDung,content_clean,claude_llm,0.9,"2. Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam (sau đây gọi chung là doanh nghiệp kiểm toán)."
"Tổ chức, cá nhân có liên quan đến việc đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán",DoiTuongApDung,content_clean,claude_llm,0.85,"3. Tổ chức, cá nhân có liên quan đến việc đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán."
Công ty tài chính tổng hợp,DoiTuongApDung,content_clean,claude_llm,0.9,1. Công ty tài chính tổng hợp.
Công ty tài chính chuyên ngành,DoiTuongApDung,content_clean,claude_llm,0.9,2. Công ty tài chính chuyên ngành.
"Các tổ chức, cá nhân có liên quan đến việc cấp Giấy phép lần đầu của tổ chức tín dụng phi ngân hàng",DoiTuongApDung,content_clean,claude_llm,0.85,"3. Các tổ chức, cá nhân có liên quan đến việc cấp Giấy phép lần đầu của tổ chức tín dụng phi ngân hàng."
Tổ chức tín dụng,DoiTuongApDung,content_clean,claude_llm,0.9,1. Tổ chức tín dụng;
Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,content_clean,claude_llm,0.9,2. Chi nhánh ngân hàng nước ngoài;
"Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài",DoiTuongApDung,content_clean,claude_llm,0.85,"3. Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
"Kế toán, kiểm toán",LinhVuc,content_clean,claude_llm,0.6,Quy định về hệ thống kiểm soát nội bộ và kiểm toán nội bộ
Đỗ Hoàng Anh Tuấn,NguoiKy,content_clean,claude_llm,0.9,"KT. BỘ TRƯỞNG
THỨ TRƯỞNG
(Đã ký)
Đỗ Hoàng Anh Tuấn"
Các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP,DoiTuongApDung,content_clean,claude_llm,0.85,Thông tư này áp dụng đối với các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ.
Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này,DoiTuongApDung,content_clean,claude_llm,0.6,Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này được khuyến khích xây dựng Quy chế kiểm toán nội bộ trên cơ sở tham chiếu mẫu Quy chế kiểm toán nội bộ ban hành kèm theo Thông tư này.
"Kế toán, kiểm toán",LinhVuc,content_clean,claude_llm,0.85,Ban hành Quy chế mẫu về kiểm toán nội bộ áp dụng cho doanh nghiệp
Quỹ tín dụng nhân dân,DoiTuongApDung,content_clean,claude_llm,0.9,1. Quỹ tín dụng nhân dân.
Ngân hàng hợp tác xã,DoiTuongApDung,content_clean,claude_llm,0.9,2. Ngân hàng hợp tác xã.
"Tổ chức, cá nhân có liên quan đến quản trị, điều hành, tổ chức và hoạt động của quỹ tín dụng nhân dân",DoiTuongApDung,content_clean,claude_llm,0.85,"3. Tổ chức, cá nhân có liên quan đến quản trị, điều hành, tổ chức và hoạt động của quỹ tín dụng nhân dân."
"Các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP",DoiTuongApDung,content_clean,claude_llm,0.8,"Chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ áp dụng đối với các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ và các tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này."
Các tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này,DoiTuongApDung,content_clean,claude_llm,0.75,"Chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ áp dụng đối với các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ và các tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này."
Ngân hàng thương mại,DoiTuongApDung,content_clean,claude_llm,0.9,1. Ngân hàng thương mại.
Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,content_clean,claude_llm,0.9,2. Chi nhánh ngân hàng nước ngoài.
"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",DoiTuongApDung,content_clean,claude_llm,0.85,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
"Các tổ chức, cá nhân có liên quan đến hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài và văn phòng đại diện nước ngoài",DoiTuongApDung,content_clean,claude_llm,0.85,"4. Các tổ chức, cá nhân có liên quan đến hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài và văn phòng đại diện nước ngoài."
Tổ chức kinh doanh chứng khoán,DoiTuongApDung,content_clean,claude_llm,0.85,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
Quỹ đầu tư chứng khoán,DoiTuongApDung,content_clean,claude_llm,0.85,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
Công ty đầu tư chứng khoán,DoiTuongApDung,content_clean,claude_llm,0.85,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
Doanh nghiệp kinh doanh bảo hiểm,DoiTuongApDung,content_clean,claude_llm,0.85,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
"Các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài",DoiTuongApDung,content_clean,claude_llm,0.8,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
Chứng khoán,LinhVuc,content_clean,claude_llm,0.5,"HƯỚNG DẪN HOẠT ĐỘNG ĐẦU TƯ GIÁN TIẾP RA NƯỚC NGOÀI CỦA TỔ CHỨC KINH DOANH CHỨNG KHOÁN, QUỸ ĐẦU TƯ CHỨNG KHOÁN, CÔNG TY ĐẦU TƯ CHỨNG KHOÁN VÀ DOANH NGHIỆP KINH DOANH BẢO HIỂM"
Ngân hàng thương mại,DoiTuongApDung,content_clean,claude_llm,0.9,a) Ngân hàng thương mại;
Tổ chức tín dụng phi ngân hàng bao gồm công ty tài chính tổng hợp và công ty tài chính chuyên ngành,DoiTuongApDung,content_clean,claude_llm,0.85,b) Tổ chức tín dụng phi ngân hàng bao gồm công ty tài chính tổng hợp và công ty tài chính chuyên ngành.
"Tổ chức, cá nhân có liên quan đến việc tổ chức lại tổ chức tín dụng",DoiTuongApDung,content_clean,claude_llm,0.85,"2. Tổ chức, cá nhân có liên quan đến việc tổ chức lại tổ chức tín dụng."
"Tổ chức tín dụng là hợp tác xã bao gồm ngân hàng hợp tác xã, quỹ tín dụng nhân dân",DoiTuongApDung,content_clean,claude_llm,0.9,"1. Tổ chức tín dụng là hợp tác xã bao gồm ngân hàng hợp tác xã, quỹ tín dụng nhân dân."
Tổ chức tài chính vi mô,DoiTuongApDung,content_clean,claude_llm,0.9,2. Tổ chức tài chính vi mô.
"Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ của tổ chức tín dụng",DoiTuongApDung,content_clean,claude_llm,0.85,"3. Tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ của tổ chức tín dụng."
Ngân hàng thương mại,DoiTuongApDung,content_clean,claude_llm,0.9,1. Ngân hàng thương mại.
Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,content_clean,claude_llm,0.9,2. Chi nhánh ngân hàng nước ngoài.
"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",DoiTuongApDung,content_clean,claude_llm,0.85,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
"Các tổ chức, cá nhân có liên quan đến hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài và văn phòng đại diện nước ngoài",DoiTuongApDung,content_clean,claude_llm,0.85,"4. Các tổ chức, cá nhân có liên quan đến hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài và văn phòng đại diện nước ngoài."
"Thanh tra, giám sát ngân hàng",LinhVuc,content_clean,claude_llm,0.55,"Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài"
Ngân hàng thương mại nhà nước,DoiTuongApDung,content_clean,claude_llm,0.85,"a) Ngân hàng: Ngân hàng thương mại nhà nước, ngân hàng thương mại cổ phần, ngân hàng liên doanh, ngân hàng 100% vốn nước ngoài;"
Ngân hàng thương mại cổ phần,DoiTuongApDung,content_clean,claude_llm,0.85,"a) Ngân hàng: Ngân hàng thương mại nhà nước, ngân hàng thương mại cổ phần, ngân hàng liên doanh, ngân hàng 100% vốn nước ngoài;"
Ngân hàng liên doanh,DoiTuongApDung,content_clean,claude_llm,0.85,"a) Ngân hàng: Ngân hàng thương mại nhà nước, ngân hàng thương mại cổ phần, ngân hàng liên doanh, ngân hàng 100% vốn nước ngoài;"
Ngân hàng 100% vốn nước ngoài,DoiTuongApDung,content_clean,claude_llm,0.85,"a) Ngân hàng: Ngân hàng thương mại nhà nước, ngân hàng thương mại cổ phần, ngân hàng liên doanh, ngân hàng 100% vốn nước ngoài;"
Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,content_clean,claude_llm,0.9,b) Chi nhánh ngân hàng nước ngoài.
"Tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",DoiTuongApDung,content_clean,claude_llm,0.9,"1. Tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã."
"Thành viên của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",DoiTuongApDung,content_clean,claude_llm,0.9,"2. Thành viên của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã."
"Cơ quan, tổ chức, cá nhân có liên quan đến thành lập, tổ chức quản lý, tổ chức lại, giải thể, phá sản và hoạt động có liên quan của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",DoiTuongApDung,content_clean,claude_llm,0.85,"3. Cơ quan, tổ chức, cá nhân có liên quan đến thành lập, tổ chức quản lý, tổ chức lại, giải thể, phá sản và hoạt động có liên quan của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã."
Hợp tác xã,LinhVuc,content_clean,claude_llm,0.6,"LUẬT
HỢP TÁC XÃ"
Quỹ tín dụng nhân dân,DoiTuongApDung,content_clean,claude_llm,0.9,1. Quỹ tín dụng nhân dân.
"Tổ chức, cá nhân có liên quan đến việc cấp Giấy phép lần đầu, cấp đổi Giấy phép của quỹ tín dụng nhân dân, cấp bản sao Giấy phép từ sổ gốc",DoiTuongApDung,content_clean,claude_llm,0.85,"2. Tổ chức, cá nhân có liên quan đến việc cấp Giấy phép lần đầu, cấp đổi Giấy phép của quỹ tín dụng nhân dân, cấp bản sao Giấy phép từ sổ gốc."
Ngân hàng Nhà nước Việt Nam,DoiTuongApDung,content_clean,claude_llm,0.85,1. Ngân hàng Nhà nước Việt Nam (sau đây gọi tắt là Ngân hàng Nhà nước).
"Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài",DoiTuongApDung,content_clean,claude_llm,0.9,"2. Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
"Khách hàng trong quan hệ giao dịch tiền mặt, tài sản quý, giấy tờ có giá với Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài",DoiTuongApDung,content_clean,claude_llm,0.85,"3. Khách hàng trong quan hệ giao dịch tiền mặt, tài sản quý, giấy tờ có giá với Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
Tổ chức và hoạt động Ngân hàng Nhà nước,LinhVuc,content_clean,claude_llm,0.5,"LUẬT
Ngân hàng Nhà nước Việt Nam"
